,Search String,Title,Media,Link,Date,Search Engine
0,Microsoft and AI,Microsoft tests Voice Clarity feature for Windows 11: How can it enhance user experience | - Times...,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-tests-voice-clarity-feature-for-windows-11-how-can-it-enhance-user-experience/articleshow/107210462.cms,2024-01-29 12:51:38.328041,Yahoo
1,Microsoft and AI,How Microsoft catapulted to $3 trillion on the back of AI,Livemint,https://www.livemint.com/companies/how-microsoft-catapulted-to-3-trillion-on-the-back-of-ai-11706250100474.html,2024-01-29 06:57:38.328041,Yahoo
2,Microsoft and AI,What Microsoft CEO Satya Nadella has to say on Taylor Swift's explicit AI images | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/what-microsoft-ceo-satya-nadella-has-to-say-on-taylor-swifts-explicit-ai-images/articleshow/107192174.cms,2024-01-23 12:57:38.328041,Yahoo
3,Microsoft and AI,"Microsoft to lay off 1,900 employees from Activision Blizzard & Xbox - ETHRWorldME",The Economic Times,https://hrme.economictimes.indiatimes.com/news/microsoft-to-lay-off-1900-employees-from-activision-blizzard-xbox/107209860,2023-07-29 12:57:38.328041,Yahoo
4,Microsoft and AI,Microsoft reportedly wants to develop smaller and cheaper AI language models,Livemint,https://www.livemint.com/technology/tech-news/microsoft-creates-new-gen-ai-team-to-develop-smaller-and-cheaper-language-models-openai-large-language-model-ai-report-11706075901101.html,2018-01-29 12:57:38.328041,Yahoo
5,Microsoft and AI,Microsoft's AI Gamble Paying Off As Market Value Crosses $3 Trillion - News18,News18,https://www.news18.com/tech/microsofts-ai-gamble-paying-off-as-market-value-crosses-3-trillion-8753603.html,2024-01-29 12:54:38.328041,Yahoo
6,Microsoft and AI,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",Livemint,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html,2024-01-29 09:57:38.328041,Yahoo
7,Microsoft and AI,Microsoft hits $3 trillion value on strong AI rally - Times of India,The Times of India,https://timesofindia.indiatimes.com/business/india-business/microsoft-hits-3-trillion-value-on-strong-ai-rally/articleshow/107124708.cms,2024-01-26 12:57:38.328041,Yahoo
8,Microsoft and AI,Microsoft AI Chatbots with Lower Computing Power | - Times of India,The Times of India,https://timesofindia.indiatimes.com/gadgets-news/microsoft-ai-chatbots-with-lower-computing-power/articleshow/107118378.cms,2023-10-29 12:57:38.328041,Yahoo
9,Microsoft and AI,"US Regulator To Probe Microsoft, Google, Amazon's AI Investments",NDTV,https://www.ndtv.com/world-news/us-regulator-to-probe-microsoft-google-amazons-ai-investments-4932351,2021-01-29 12:57:38.328041,Yahoo
